wire_name,sub_spec_phase_tag,mention_count
GPU_BUDGET_DOWNGRADED,S8.2,3
GPU_BUDGET_EXCEEDED,S8.2,3
GPU_CAPABILITY_DENIED,S3.2,1
GPU_CAPABILITY_DENIED,S8.2,2
GPU_DEVICE_DISCONNECTED,S8.2,2
GPU_DEVICE_ENUMERATED,S8.2,2
GPU_DEVICE_FORCE_RECLAIMED,S8.2,2
GPU_DMABUF_DENIED,S8.2,4
GPU_DMABUF_GRANTED,S2.1,1
GPU_DMABUF_GRANTED,S8.2,3
GPU_VALIDATION_DISABLED_RECOVERY,S8.2,4
GPU_VALIDATION_ENABLED_NORMAL,S8.2,3
GPU_VK_DEVICE_CREATED,S2.1,1
GPU_VK_DEVICE_CREATED,S8.2,5
GPU_VK_DEVICE_DESTROYED,S8.2,2
GRAPH_BLOCKED_RESOURCE,S15.2,5
GRAPH_CONVERGED,S15.2,9
GRAPH_EVALUATED,S15.2,12
GRAPH_EVALUATION_BUDGET_EXCEEDED,S15.2,3
GROUP_REGISTERED,S5.1,3
HALTED_PENDING_OPERATOR,S14.1,2
HARDWARE_GRAPH_DRIFT_ACCEPTED,S10.1,4
HARDWARE_GRAPH_DRIFT_ACCEPTED,S8.3,8
HARDWARE_GRAPH_DRIFT_ACCEPTED,S8.5,1
HARDWARE_GRAPH_DRIFT_DETECTED,S2.4,1
HARDWARE_GRAPH_DRIFT_DETECTED,S4.1,1
HARDWARE_GRAPH_DRIFT_DETECTED,S8.3,12
HARDWARE_GRAPH_REBUILT,S4.1,1
HARDWARE_GRAPH_REBUILT,S8.3,5
HARDWARE_SUBSTRATE_ACCEPT_OUTSIDE_RECOVERY_BLOCKED,S10.1,3
HARDWARE_SUBSTRATE_ACCEPT_OUTSIDE_RECOVERY_BLOCKED,S2.3,2
HOST_CAPABILITY_LIE,S12.3,2
HOST_CAPABILITY_LIE,S3.2,4
HOST_CAPABILITY_LIE,S8.2,7
HOST_CAPABILITY_LIE,S8.3,8
IDEMPOTENCY_KEY_REPLAY_DETECTED,S10.1,3
IDEMPOTENCY_KEY_REPLAY_DETECTED,S15.3,1
IDENTITY_BUNDLE_LOADED,S0.3,2
IDENTITY_BUNDLE_REJECTED,S14.1,2
IDENTITY_BUNDLE_REJECTED,S9.2,1
INITIAL_FIREWALL_POSTURE_SET,S9.2,6
INVARIANT_BUNDLE_LOADED,S0.3,3
INVARIANT_BUNDLE_LOADED,S5.4,1
INVARIANT_BUNDLE_LOADED,S6.3,1
INVARIANT_BUNDLE_LOADED,S6.4,4
INVARIANT_BUNDLE_LOADED,S9.3,1
INVARIANT_BUNDLE_REJECTED,S14.1,2
INVARIANT_BUNDLE_REJECTED,S9.2,1
IOMMU_DMA_PROTECTION_DEGRADED,S8.3,4
IOMMU_UNAVAILABLE_DEGRADED,S8.2,4
KDE_FRAME_DROPPED,S7.4,3
KDE_KWIN_SCRIPT_LOADED,S7.4,1
KDE_KWIN_SCRIPT_REJECTED,S7.4,5
KDE_LAYER_SHELL_REJECTED,S7.4,8
KDE_PLASMA_THEME_OVERRIDDEN,S7.4,1
KDE_RECOVERY_KIND_REJECTED_AT_RENDERER,S2.4,1
KDE_RECOVERY_KIND_REJECTED_AT_RENDERER,S7.4,2
KDE_RECOVERY_SHELL_STARTED,S7.4,2
KDE_RENDERER_DEGRADED,S7.4,7
KDE_RENDERER_STARTED,S0.3,3
KDE_RENDERER_STARTED,S7.4,2
KDE_RENDER_FAILED,S7.4,3
KDE_TOKEN_FALLBACK_USED,S7.4,2
KERNEL_BUILD_COMPLETED,S9.3,4
KERNEL_CONVERGED,S9.3,2
KERNEL_DIVERGED_REGRESSION,S9.3,3
KERNEL_GATE_RESULT,S9.3,8
KERNEL_IMAGE_DRIFT_DETECTED,S8.5,1
KERNEL_IMAGE_DRIFT_DETECTED,S9.3,7
KERNEL_IMAGE_OBSERVED,S9.3,8
KERNEL_PIPELINE_STARTED,S9.3,5
KERNEL_PROMOTED_TO_A,S9.3,5
KERNEL_PROMOTED_TO_B,S9.3,2
KERNEL_REFRESH_PIPELINE_FAILED,S9.3,4
KERNEL_REFRESH_SCHEDULED,S10.1,1
KERNEL_REFRESH_SCHEDULED,S9.3,3
KERNEL_ROLLBACK_PERFORMED,S9.3,4
KVM_VM_BOOTED,S12.3,2
KVM_VM_TERMINATED,S12.3,2
LAN_PEER_DRIFT_DETECTED,S8.1,3
LAN_SUBNET_DRIFT_DETECTED,S8.1,2
LISTING_PUBLISHED,S11.2,1
LISTING_VISIBILITY_DOWNGRADED,S11.2,2
LISTING_VS_MANIFEST_MISMATCH,S11.2,8
MANIFEST_FORGED,S11.1,15
MANIFEST_FORGED,S11.3,2
MANIFEST_FORGED,S15.1,5
MARKETPLACE_REVIEW_BUDGET_EXCEEDED,S11.2,1
MARKETPLACE_REVIEW_BYPASS_ATTEMPTED,S11.2,6
MDNS_BROADCAST_DENIED,S8.4,4
MDNS_POISONING_DETECTED,S8.4,6
MDNS_REQUEST_RECEIVED,S8.4,2
MIRROR_HASH_MISMATCH_BLACKLISTED,S11.1,4
MODEL_BACKEND_DEGRADED,S13.2,2
MODEL_BACKEND_REGISTERED,S13.2,4
MODEL_BACKEND_RETIRED,S10.1,1
MODEL_BACKEND_RETIRED,S13.2,2
MODEL_CALL,S6.3,1
MODEL_CIRCUIT_OPENED,S13.2,4
MODEL_INVOCATION_FAILED,S13.2,2
MODEL_INVOCATION_STARTED,S13.2,4
MODEL_INVOCATION_SUCCEEDED,S13.2,9
MODEL_NETWORK_DENY,S13.2,1
MODEL_PROMPT_INJECTION_DETECTED,S13.2,3
MODEL_RATE_LIMITED,S13.2,2
MODEL_RESPONSE_SIGNATURE_FAILED,S13.2,2
MODEL_VAULT_DENY,S13.2,2
NETWORK_POSTURE_CHANGED,S8.1,3
OPERATIONAL_HEALTHY,S13.1,1
OPERATIONAL_HEALTHY,S6.2,9
OPERATIONAL_HEALTHY,S6.3,4
OPERATIONAL_HEALTHY,S6.4,1
OPERATOR_LOCAL_FIRMWARE_INSTALLED,S8.5,6
ORCHESTRATION_KIND_MISMATCH_REJECTED,S12.3,5
OUTBOUND_DEGRADED_TO_LOOPBACK_AUTO,S8.1,3
OUTBOUND_GRANT_ISSUED,S8.1,2
OUTBOUND_GRANT_REVOKED,S8.1,3
OUTBOUND_OUTSIDE_MANIFEST,S8.1,5
OUTBOUND_OUTSIDE_MANIFEST,S8.4,1
OUT_OF_TREE_DRIVER_BLOCKED,S8.3,3
OVERRIDE_CONSUMED,S10.1,2
OVERRIDE_CONSUMED,S5.4,13
OVERRIDE_CONSUMED,S6.3,1
OVERRIDE_DENIED,S0.3,1
OVERRIDE_DENIED,S10.1,7
OVERRIDE_DENIED,S5.4,17
OVERRIDE_DENIED,S8.5,4
OVERRIDE_EXPIRED,S5.4,4
OVERRIDE_GRANTED,S10.1,1
OVERRIDE_GRANTED,S5.4,13
OVERRIDE_GRANTED,S6.3,1
OVERRIDE_QUORUM_RECEIVED,S10.1,1
OVERRIDE_QUORUM_RECEIVED,S5.4,6
OVERRIDE_QUORUM_RECEIVED,S6.3,1
OVERRIDE_REQUESTED,S10.1,1
OVERRIDE_REQUESTED,S5.4,8
OVERRIDE_REQUESTED,S6.3,1
OVERRIDE_REVIEW,S5.4,16
OVERRIDE_REVIEW,S6.3,3
OVERRIDE_REVIEW,S8.5,1
OVERRIDE_REVOKED,S5.4,7
PACKAGE_APPROVAL_REQUESTED,S11.1,1
